step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,hour_of_day,day_of_week,is_weekend,balance_diff_orig,balance_diff_dest,zero_balance_after,amount_to_balance,balance_mismatch,dest_type,is_extreme_amount,amount_capped,risk_score,risk_tier,type_encoded
103,CASH_OUT,38.57,C5596811793,75.06,36.49,M593587156,86.24,124.81,0,0,7,4,0,38.57,38.57,0,0.5071,0,Merchant,0,38.57,27.68,Medium,0
436,PAYMENT,147.11,C9985080983,77.02,0.0,M603748578,17.56,164.67,0,0,4,4,0,77.02,147.11,1,1.885542,1,Merchant,0,147.11,60.0,High,1
271,PAYMENT,27275.36,C8988680186,20.53,0.0,M421777481,575.9,27851.26,0,0,7,4,0,20.53,27275.36,1,1266.853693,1,Merchant,0,27275.36,60.0,High,1
107,CASH_IN,68.17,C7339872763,2808.86,2740.69,C7062717579,3026.91,3095.08,0,0,11,4,0,68.17,68.17,0,0.024261,0,Customer,0,68.17,0.61,Low,2
72,CASH_OUT,1432.34,C1954895183,1147.39,0.0,M404958397,876.87,2309.21,0,0,0,3,0,1147.39,1432.34,1,1.247259,1,Merchant,0,1432.34,75.0,High,0
701,PAYMENT,343.63,C1945699390,6434.83,6091.2,M794035158,234.6,578.23,0,0,5,1,0,343.63,343.63,0,0.053393,0,Merchant,0,343.63,1.33,Low,1
21,PAYMENT,849.77,C2713349954,411.69,0.0,M780950693,79.93,929.7,0,0,21,0,0,411.69,849.77,1,2.0591,1,Merchant,0,849.77,60.0,High,1
615,CASH_OUT,145.69,C3442473523,210.74,65.05,M469048570,30514.52,30660.21,0,0,15,4,0,145.69,145.69,0,0.688061,0,Merchant,0,145.69,32.2,Medium,0
122,CASH_OUT,4116.23,C4266159584,880.36,0.0,M522527692,99.85,4216.08,0,0,2,5,1,880.36,4116.23,1,4.670316,1,Merchant,0,4116.23,75.0,High,0
467,CASH_OUT,947.37,C2165469106,6337.56,5390.19,M207394626,97.96,1045.33,0,0,11,5,1,947.37,947.37,0,0.149461,0,Merchant,0,947.37,18.74,Low,0
215,CASH_IN,1001.52,C8432299178,2320.64,1319.12,C8510263389,8.11,1009.63,0,0,23,1,0,1001.52,1001.52,0,0.431385,0,Customer,0,1001.52,10.78,Low,2
331,CASH_OUT,491.66,C4679698590,1132.69,641.03,M857116456,32178.38,32670.04,0,0,19,6,1,491.66,491.66,0,0.433681,0,Merchant,0,491.66,25.84,Medium,0
459,CASH_IN,4973.72,C7806540666,5773.06,799.34,C1543982906,5.84,4979.56,0,0,3,5,1,4973.72,4973.72,0,0.86139,0,Customer,0,4973.72,21.53,Low,2
88,TRANSFER,1236.83,C1434182348,1110.56,0.0,C9162123964,4341.15,5577.98,0,0,16,3,0,1110.56,1236.83,1,1.112697,1,Customer,0,1236.83,75.0,High,3
373,CASH_IN,847.09,C7943951096,249.93,0.0,C2214333616,1804.54,2651.63,0,0,13,1,0,249.93,847.09,1,3.375802,1,Customer,0,847.09,60.0,High,2
100,CASH_OUT,1488.15,C3087269021,10602.56,9114.41,M960093994,121.33,1609.48,0,0,4,4,0,1488.15,1488.15,0,0.140344,0,Merchant,0,1488.15,18.51,Low,0
