step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
103,CASH_OUT,38.57,C5596811793,75.06,36.49,M593587156,86.24,124.81,0,0
436,PAYMENT,147.11,C9985080983,77.02,0.0,M603748578,17.56,164.67,0,0
271,PAYMENT,27275.36,C8988680186,20.53,0.0,M421777481,575.9,27851.26,0,0
107,CASH_IN,68.17,C7339872763,2808.86,2740.69,C7062717579,3026.91,3095.08,0,0
72,CASH_OUT,1432.34,C1954895183,1147.39,0.0,M404958397,876.87,2309.21,0,0
701,PAYMENT,343.63,C1945699390,6434.83,6091.2,M794035158,234.6,578.23,0,0
21,PAYMENT,849.77,C2713349954,411.69,0.0,M780950693,79.93,929.7,0,0
615,CASH_OUT,145.69,C3442473523,210.74,65.05,M469048570,30514.52,30660.21,0,0
122,CASH_OUT,4116.23,C4266159584,880.36,0.0,M522527692,99.85,4216.08,0,0
467,CASH_OUT,947.37,C2165469106,6337.56,5390.19,M207394626,97.96,1045.33,0,0
215,CASH_IN,1001.52,C8432299178,2320.64,1319.12,C8510263389,8.11,1009.63,0,0
331,CASH_OUT,491.66,C4679698590,1132.69,641.03,M857116456,32178.38,32670.04,0,0
459,CASH_IN,4973.72,C7806540666,5773.06,799.34,C1543982906,5.84,4979.56,0,0
88,TRANSFER,1236.83,C1434182348,1110.56,0.0,C9162123964,4341.15,5577.98,0,0
373,CASH_IN,847.09,C7943951096,249.93,0.0,C2214333616,1804.54,2651.63,0,0
100,CASH_OUT,1488.15,C3087269021,10602.56,9114.41,M960093994,121.33,1609.48,0,0
664,CASH_IN,11.94,C3544851556,48.38,36.44,C7657784520,712.65,724.59,0,0
131,CASH_OUT,587.29,C6894572974,31.47,0.0,M406151955,1292.59,1879.88,0,0
662,PAYMENT,354.94,C8173315070,1030.34,675.4,M399672908,116854.58,117209.52,0,0
309,CASH_IN,4176.25,C8365746461,1359.11,0.0,C7084896730,32861.93,37038.18,0,0
344,PAYMENT,99.28,C7785248232,1963.64,1864.36,M848811235,2554.56,2653.84,0,0
492,PAYMENT,603.18,C9393138007,483.46,0.0,M896076155,759.53,1362.71,0,0
414,CASH_OUT,18914.44,C4932650539,32296.47,13382.03,M763559225,2135.9,21050.34,0,0
386,PAYMENT,383.2,C3345624313,25.88,0.0,M992696323,726.25,1109.45,0,0
192,PAYMENT,28.2,C1883357002,1536.81,1508.61,M164542791,982.18,1010.38,0,0
277,CASH_OUT,31190.85,C4913309491,7307.2,0.0,M119980735,79.39,31270.24,0,0
161,TRANSFER,96.44,C4218676562,34922.25,34825.81,C2133904596,340.51,436.95,0,0
460,TRANSFER,50.42,C9756458386,30816.92,30766.5,C4619706337,2831.39,2881.81,0,0
314,CASH_IN,54.56,C3598217373,70.78,16.22,C5667715100,463.0,517.56,0,0
22,PAYMENT,1729.05,C5580468222,2711.74,982.69,M989151803,1374.92,3103.97,0,0
253,CASH_IN,5407.6,C1214022629,642.19,0.0,C4757641784,111.22,5518.82,0,0
561,CASH_IN,13640.6,C6004228180,1045.9,0.0,C7104553336,358.93,13999.53,0,0
475,CASH_IN,415.98,C3058172641,18672.83,18256.85,C2240101076,18.36,434.34,0,0
59,PAYMENT,56.05,C3946453006,126731.23,126675.18,M142020539,2919.15,2975.2,0,0
511,CASH_OUT,129.04,C9864490834,2105.43,1976.39,M939954544,5.01,134.05,0,0
682,CASH_OUT,431.46,C5543000913,7.66,0.0,M505217601,1340.47,1771.93,0,0
476,PAYMENT,386.69,C3087754104,16.93,0.0,M266827058,13.2,399.89,0,0
